IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
155.248.165.169,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,760,20.59
168.138.208.164,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1078,20.59
132.145.123.143,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1054,20.58
150.230.97.239,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1083,20.46
131.186.34.244,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1008,20.44
140.238.59.255,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1444,20.43
168.138.206.68,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1102,20.36
140.238.48.97,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1084,20.32
168.138.206.236,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1445,20.25
158.179.182.19,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1042,20.12
158.179.180.233,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1108,20.06
158.179.183.2,8443,TRUE,JP,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,1017,20
